01-Jul-22	268	35550	3199.5	3199.5	730630	600				
    01-jul-22	269	17780	1600.2	1600.2	730630	300				
    01-jul-22	270	14300	1287	1287	68114010			80		
    02-jul-22	271	10750	967.5	967.5	68114010			60		
    02-jul-22	272	16050	1444.5	1444.5	68114010			75		
    02-jul-22	273	35700	3213	3213	68114010			200		
    04-jul-22	274	33900	3051	3051	73066100	500				
    04-jul-22	275	40650	3658.5	3658.5	73066100	600				
    04-jul-22	276	25600	2304	2304	68114010			120		
    04-jul-22	277	8550	769.5	769.5	68114010			40		
  04--jul-22	278	16600	1494	1494	730630	280				
  04-jul-22	279	22520	2026.8	2026.8	730630	380				
  04-jul-22	280	16950	1525.5	1525.5	73066100	250				
  05-jul-22	281	4100	369	369	73066100	60				
   05-jul-22	282	3050	274.5	274.5	73066100	45				
   05-jul-22	283	8560	770.4	770.4	68114010			40		
   05-jul-22	284	14550	1309.5	1309.5	68114010			68		
			0	0						
			0	0						
			0	0						
			0	0						
